participant,IQ,age,mem_span,read_ab
1,92,4.7,3.5,5.810982373672128
2,103,5.9,4.8,6.474783128088863
3,104,5,4.4,6.537983292128741
4,97,6.5,4.3,5.615186961009651
5,92,6.2,4,7.0538465684087575
6,106,4.2,4.2,4.981318233690411
7,96,7.2,4.2,7.699513134042919
8,101,6.4,4.2,7.385802670396716
9,91,4.4,3.6,5.2699494171312455
10,90,8,5.2,6.895397646832466
11,97,4.9,4.2,5.5421274138890215
12,106,5.2,4.5,6.489852949920297
13,102,5,3.9,4.845066226978898
14,103,4.7,4.1,6.423239174773097
15,91,5,4.1,6.371268950040787
16,104,4.6,3.9,6.045194330824316
17,99,4.3,3.7,5.863343408557772
18,99,5.9,3.8,6.055389301505983
19,102,6.3,4.6,6.06336775851816
20,94,7,4.9,6.276744405661375
21,100,7.1,5.1,7.801114092129767
22,97,4.7,3.7,5.86552964522183
23,106,4.5,4.2,6.310040305638462
24,105,7.1,4.6,6.3525246823246775
25,97,5.3,4,4.9205905882906915
26,95,7.8,4.5,7.583482879081517
27,95,7.2,4.4,5.90130221708402
28,102,5.2,3.9,4.937465110208988
29,91,5.6,3.8,6.049210195112675
30,93,4.6,3.6,6.282501888498663
31,106,7.3,5,7.374679371831119
32,103,4.2,3.5,5.43951744872883
33,90,7.4,4.6,6.778775853921175
34,95,7.3,5,7.719863482888937
35,99,5.3,3.9,4.879054024768621
36,101,4.1,3.6,4.89678570520997
37,96,7.2,3.8,5.819332271066308
38,91,5.8,3.8,6.53270009632662
39,90,7.1,3.6,6.970620168464183
40,96,7.6,5.3,6.584626403647363
41,104,4.5,4,5.309232337467224
42,94,7.4,4,6.17942930074066
43,106,6,4.3,7.197735693276078
44,108,5.1,3.8,6.114067325703054
45,107,4,3.5,5.504750453248918
46,96,7.1,3.9,6.553074936899245
47,100,6.4,4.1,6.158298407128901
48,93,4,3.4,5.330061807449609
49,99,4.6,4.1,5.299633066289275
50,100,4.4,4,5.4195384464141725
51,99,5.8,4,6.1478552371755235
52,96,7.5,5.1,7.872017698057145
53,100,7.1,4.1,7.25670210445255
54,96,5,4.2,6.172983260260672
55,100,4.4,3.7,5.07078399415508
56,98,7.7,4.9,8.033608864101321
57,93,6.2,3.9,6.489501140133589
58,99,7,4.8,6.839055120542497
59,91,7.1,4.2,5.741370766456127
60,95,4.8,3.4,5.042476901701241
61,97,7.7,5.1,8.224154475732297
62,104,5.7,4.1,6.212861295908391
63,94,6.1,4,5.653930063786507
64,99,5.8,3.9,6.667014888010174
65,107,6.3,4.5,6.852016514414251
66,99,4.1,3.4,5.20585275826171
67,101,5.6,4.1,6.598763694791197
68,106,6.6,4.8,6.655195189678372
69,92,6.5,4.3,7.157765807955265
70,101,6.6,4.6,6.278175442659556
71,98,6,3.8,5.53271757233262
72,97,6.5,4.1,6.749116797451228
73,107,4.1,3.8,4.940172540248036
74,98,5.6,4.1,5.801264340206981
75,96,5.9,4.2,5.905735378397107
76,99,7.6,5.1,6.347365895295292
77,94,5.3,3.9,4.892368458893895
78,106,5.6,4.1,5.800901964313239
79,92,7.7,4.8,7.3382530139917135
80,89,5.4,3.5,5.195349448789955
81,93,4.4,3.5,4.199785270317793
82,98,5.3,4.5,5.8255946811287105
83,97,6.6,4,6.809840271832645
84,88,6.6,3.9,6.2739624815717345
85,97,4.9,3.7,6.315860135389119
86,89,7.6,4.3,7.611495208974331
87,90,6.4,3.9,5.931586187651456
88,103,4.8,4.1,6.442309540898203
89,107,4.3,3.9,5.778469582760035
90,91,7.7,4.4,7.361535559325665
91,104,5.7,4.6,7.227650360163003
92,96,7.6,4.3,5.983233520160317
93,98,6.9,4.3,6.638941324771345
94,93,5.6,4,6.290738077720254
95,97,4.9,3.4,5.801733694695681
96,102,6.4,4.7,7.136545888974518
97,95,4.2,3.4,5.030521743153631
98,104,4.7,3.7,5.997949498044402
99,100,5,4,5.113205782543868
100,92,6,4.4,5.754671921885311
